"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Cu";"As";"Cd";"Pb";"Zn";"Ag";"Hg";"Ni";"Cr"
"1";"2007";"C2007/03580";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"49";"0.08";"0.016"
"2";"2007";"C2007/03579";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.007";NA;NA;"69";"0.07";"0.014"
"3";"2007";"C2007/03573";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;NA;"0.08";"0.016"
"4";"2007";"C2007/03574";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;"68";"0.08";"0.016"
"5";"2007";"C2007/03581";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;"73";"0.08";"0.015"
"6";"2007";"C2007/03575";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"38";"0.07";"0.014"
"7";"2007";"C2007/03576";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"42";NA;"0.015"
"8";"2007";"C2007/03582";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"45";"0.08";"0.016"
"9";"2007";"C2007/03577";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"60";NA;"0.014"
"10";"2007";"C2007/03578";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"56";"0.08";"0.015"
"11";"2007";"C2007/05888";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.79";"21.1";"0.621";"1.04";"80.2";"0.0265";"22";"1.99";"1.07"
"12";"2007";"C2007/05889";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"5.69";"17.8";"0.926";"1.79";"102";"0.0585";"18";"1.67";"1.13"
"13";"2007";"C2007/05890";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.57";"17.4";"0.563";"0.83";"90.6";"0.0366";"19";"1.52";"0.837"
"14";"2007";"C2007/05887";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"3.58";"17.4";"0.786";"0.854";"75";"0.0222";"19";"2.35";"1.18"
"15";"2007";"C2007/05891";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"3.98";"15.6";"0.673";"1.01";"128";"0.0464";"15";"0.95";"0.941"
"16";"2007";"C2007/05883";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.79";"19.3";"0.651";"0.812";"96.8";"0.0696";"17";"4.04";"1.07"
"17";"2007";"C2007/05886";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"5.71";"20.4";"1.2";"2.8";"73.5";"0.0318";"18";"1.62";"1"
"18";"2007";"C2007/05885";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.58";"12.4";"0.818";"1.29";"76.8";"0.0324";"24.5";"2.52";"1.49"
"19";"2007";"C2007/05884";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"5.08";"26.6";"2.01";"2.12";"58";"0.0506";"24";"1.98";"2.12"
"20";"2007";"C2007/05892";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.55";"15.7";"0.587";"2.01";"99.5";"0.0351";"15";"2.23";"2.8"
"21";"2007";"C2007/05893";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.72";"16.1";"0.794";"1.59";"83.8";"0.0777";"21";"1.76";"1.21"
"22";"2007";"C2007/05894";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"5.63";"26.7";"1.09";"2.51";"128";"0.0718";"21";"2.47";"1.36"
"23";"2007";"C2007/05897";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"6.13";"21.7";"0.872";"2.27";"74";"0.0352";"18";"3.14";"4"
"24";"2007";"C2007/05896";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.76";"20.1";"0.768";"1.37";"77";"0.0478";"17";"2.03";"1.44"
"25";"2007";"C2007/05895";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.62";"14.6";"0.644";"3.42";"91.1";"0.0243";"19";"1.66";"2.02"
"26";"1999";"P1999/03603";"SLU";"Gadus morhua";"Fladen";"NaN";"26";"8.34";"0.053";"0.12";"28";NA;"66";"0.1";"0.16"
"27";"1999";"P1999/03600";"SLU";"Gadus morhua";"Fladen";"NaN";"18";"46.1";"0.39";"0.063";"20";NA;"52";"0.3";"0.22"
"28";"1999";"P1999/03602";"SLU";"Gadus morhua";"Fladen";"NaN";"21";"7.55";"0.078";"0.086";"53";NA;"50";"0.17";"0.1"
"29";"1999";"P1999/03598";"SLU";"Gadus morhua";"Fladen";"NaN";"12";"14.3";"0.15";"0.037";"50";NA;"66";"0.15";"0.16"
"30";"1999";"P1999/03599";"SLU";"Gadus morhua";"Fladen";"NaN";"27";"11.1";"0.2";"0.047";"49";NA;"60";"0.087";"0.14"
"31";"1999";"P1999/03605";"SLU";"Gadus morhua";"Fladen";"NaN";"31";"15.2";"0.19";"0.042";"70";NA;"65";"0.1";"0.16"
"32";"1999";"P1999/03604";"SLU";"Gadus morhua";"Fladen";"NaN";"11";"17.5";"0.2";"0.065";"50";NA;"72";"0.17";"0.13"
"33";"1999";"P1999/03910";"SLU";"Clupea harengus";"Fladen";"NaN";"7.2";"13.6";"0.3";"0.15";"99";NA;"25";"0.038";"0.29"
"34";"1999";"P1999/03911";"SLU";"Clupea harengus";"Fladen";"NaN";"12";"11";"0.32";"0.063";"100";NA;"36";"0.13";"0.43"
"35";"1999";"P1999/03905";"SLU";"Clupea harengus";"Fladen";"NaN";"11";"11.7";"0.39";"0.11";"87";NA;"27";"0.083";"0.32"
"36";"1999";"P1999/03908";"SLU";"Clupea harengus";"Fladen";"NaN";"8.3";"12.7";"0.31";"0.14";"84";NA;"25";"0.079";"0.21"
"37";"1999";"P1999/03601";"SLU";"Gadus morhua";"Fladen";"NaN";"14";"33.5";"0.24";"0.028";"58";NA;"66";"0.18";"0.13"
"38";"1999";"P1999/03606";"SLU";"Gadus morhua";"Fladen";"NaN";"12";"5.39";"0.069";"0.092";"38";NA;"65";"0.061";"0.12"
"39";"1999";"P1999/03607";"SLU";"Gadus morhua";"Fladen";"NaN";"13";"10.6";"0.078";"0.063";"34";NA;"55";"0.13";"0.18"
"40";"1999";"P1999/03904";"SLU";"Clupea harengus";"Fladen";"NaN";"11";"28.3";"0.32";"0.058";"110";NA;"53";"0.042";"0.25"
"41";"1999";"P1999/03909";"SLU";"Clupea harengus";"Fladen";"NaN";"12";"12.2";"0.38";"0.072";"120";NA;"19";"0.091";"0.34"
"42";"1999";"P1999/03906";"SLU";"Clupea harengus";"Fladen";"NaN";"10";"8.51";"0.68";"0.075";"99";NA;"22";"0.073";"0.3"
"43";"1999";"P1999/03907";"SLU";"Clupea harengus";"Fladen";"NaN";"9.7";"15.3";"0.55";"0.07";"130";NA;"27";"0.077";"0.31"
"44";"1999";"P1999/03903";"SLU";"Clupea harengus";"Fladen";"NaN";"5.8";"19.2";"0.58";"0.075";"81";NA;"44";"0.12";"0.27"
"45";"1999";"P1999/03902";"SLU";"Clupea harengus";"Fladen";"NaN";"8.8";"13.2";"0.28";"0.057";"94";NA;"18";"0.11";"0.34"
"46";"1999";"P1999/04720";"SLU";"Clupea harengus";"Landsort";"NaN";"8.9";"2.59";"2.4";"0.066";"50";NA;"35";"0.31";"0.18"
"47";"1999";"P1999/04722";"SLU";"Clupea harengus";"Landsort";"NaN";"6.8";"3.04";"1.3";"0.081";"40";NA;"16";"0.25";"0.25"
"48";"1999";"P1999/04715";"SLU";"Clupea harengus";"Landsort";"NaN";"6.6";"1.59";"1";"0.054";"85";NA;"40";"0.4";"0.2"
"49";"1999";"P1999/04723";"SLU";"Clupea harengus";"Landsort";"NaN";"7";"2.2";"1.9";"0.054";"49";NA;"50";"0.2";"0.34"
"50";"1999";"P1999/04721";"SLU";"Clupea harengus";"Landsort";"NaN";"6.3";"2.31";"1.2";"0.071";"77";NA;"23";"0.24";"0.29"
"51";"1999";"P1999/04716";"SLU";"Clupea harengus";"Landsort";"NaN";"11";"2.84";"1.4";"0.13";"110";NA;"77";"0.45";"0.45"
"52";"1999";"P1999/04717";"SLU";"Clupea harengus";"Landsort";"NaN";"9.2";"2.59";"2.7";"0.091";"64";NA;"57";"0.28";"0.23"
"53";"1999";"P1999/04714";"SLU";"Clupea harengus";"Landsort";"NaN";"8.7";"2.09";"1.2";"0.088";"65";NA;"16";"0.17";"0.2"
"54";"1999";"P1999/04719";"SLU";"Clupea harengus";"Landsort";"NaN";"29";"2.93";"6.8";"0.087";"150";NA;"32";"0.53";"0.31"
"55";"1999";"P1999/04718";"SLU";"Clupea harengus";"Landsort";"NaN";"5.2";"2.56";"1.6";"0.07";"71";NA;"24";"0.12";"0.22"
"56";"2007";"C2007/06125";"SU";"Mytilus edulis";"Nidingen";"NaN";"7.29";"21.7";"2.02";"2.18";"126";"0.0609";"15";"2.88";"2.07"
"57";"2007";"C2007/06128";"SU";"Mytilus edulis";"Nidingen";"NaN";"6.35";"23.3";"2.7";"1.89";"164";"0.0503";"20";"3.98";"2.14"
"58";"2007";"C2007/06129";"SU";"Mytilus edulis";"Nidingen";"NaN";"7.32";"14.9";"1.45";"1.13";"71.4";"0.048";"20";"4.13";"3.05"
"59";"2007";"C2007/06127";"SU";"Mytilus edulis";"Nidingen";"NaN";"5.47";"25.1";"1.64";"1.41";"272";"0.0514";"21";"5.27";"4.99"
"60";"2007";"C2007/06126";"SU";"Mytilus edulis";"Nidingen";"NaN";"5.06";"19.5";"1.26";"5.49";"180";"0.0513";"11";"8.04";"3.27"
"61";"2007";"C2007/06130";"SU";"Mytilus edulis";"Nidingen";"NaN";"5.42";"17.9";"1.01";"0.657";"67.2";"0.0272";"12";"2.97";"1.02"
"62";"2007";"C2007/06124";"SU";"Mytilus edulis";"Nidingen";"NaN";"6.07";"16.4";"1.47";"1.05";"154";"0.026";"24";"4.01";"2.14"
"63";"2007";"C2007/06138";"SU";"Mytilus edulis";"Nidingen";"NaN";"5.03";"14";"0.896";"1.64";"67.1";"0.0341";"20";"2.26";"0.743"
"64";"2007";"C2007/06132";"SU";"Mytilus edulis";"Nidingen";"NaN";"6.85";"18.7";"2.03";"11.6";"235";"0.0604";"14";"3.54";"2.17"
"65";"2007";"C2007/06133";"SU";"Mytilus edulis";"Nidingen";"NaN";"6.05";"17.2";"1.53";"1.17";"119";"0.021";"27";"4.08";"1.07"
"66";"2007";"C2007/06131";"SU";"Mytilus edulis";"Nidingen";"NaN";"4.75";"18.2";"0.969";"0.734";"93.3";"0.0391";"17";"2.09";"1.22"
"67";"2007";"C2007/06134";"SU";"Mytilus edulis";"Nidingen";"NaN";"4.77";"15.6";"0.969";"6.23";"147";"0.042";"16";"2.98";"1.12"
"68";"2007";"C2007/06135";"SU";"Mytilus edulis";"Nidingen";"NaN";"5.03";"15.8";"0.871";"16.5";"74.1";"0.0893";"10";"2.82";"1.41"
"69";"2007";"C2007/06136";"SU";"Mytilus edulis";"Nidingen";"NaN";"4.38";"12";"0.541";"1.24";"62";"0.0164";"11";"2.35";"1.22"
"70";"2007";"C2007/06137";"SU";"Mytilus edulis";"Nidingen";"NaN";"4.91";"14.3";"0.986";"0.972";"80.7";"0.0491";"17";"2.6";"1.34"
"71";"1999";"P1999/03539";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"17";"2.09";"0.082";"0.026";"53";NA;"49";"0.16";"0.18"
"72";"1999";"P1999/03540";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"28";"4.59";"0.032";"0.027";"67";NA;"27";"0.13";"0.24"
"73";"1999";"P1999/03544";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"73";"8.93";"0.047";"0.039";"110";NA;"34";"0.045";"0.28"
"74";"1999";"P1999/03538";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"27";"4.69";"0.034";"0.031";"67";NA;"29";"0.13";"0.22"
"75";"1999";"P1999/03536";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"42";"2.68";"0.049";"0.047";"88";NA;"40";"0.11";"0.12"
"76";"1999";"P1999/03541";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"25";"1.51";"0.028";"0.026";"62";NA;"45";"0.055";"0.35"
"77";"1999";"P1999/03542";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"16";"3.62";"0.033";"0.034";"48";NA;"28";"0.084";"0.2"
"78";"1999";"P1999/03543";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"27";"5.03";"0.026";"0.027";"63";NA;"33";"0.039";"0.17"
"79";"1999";"P1999/03537";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"14";"5.12";"0.057";"0.028";"66";NA;"33";"0.09";"0.25"
"80";"1999";"P1999/03535";"SLU";"Gadus morhua";"South Eastern Gotland";"NaN";"15";"4.2";"0.024";"0.04";"47";NA;"35";"0.07";"0.17"
"81";"2007";"C2007/00687";"SU";"Clupea harengus";"Utlangan";"NaN";"14.3";"2.13";"0.493";"0.048";"110";"0.0502";"49";"0.13";"0.018"
"82";"2007";"C2007/00685";"SU";"Clupea harengus";"Utlangan";"NaN";"15.5";"2.39";"1.04";"0.051";"107";"0.0228";"13";"0.16";"0.025"
"83";"2007";"C2007/00686";"SU";"Clupea harengus";"Utlangan";"NaN";"13.6";"3.29";"0.91";"0.05";"105";"0.0204";"20";"0.15";"0.021"
"84";"2007";"C2007/00688";"SU";"Clupea harengus";"Utlangan";"NaN";"11.7";"1.99";"2.74";"0.055";"104";"0.0202";"47";"0.19";"0.015"
"85";"2007";"C2007/00682";"SU";"Clupea harengus";"Utlangan";"NaN";"8.98";"3.18";"0.722";"0.05";"91.5";"0.0161";"17";"0.2";"0.016"
"86";"2007";"C2007/00684";"SU";"Clupea harengus";"Utlangan";"NaN";"12";"2.46";"0.839";"0.092";"116";"0.026";"8.7";"0.19";"0.02"
"87";"2007";"C2007/00680";"SU";"Clupea harengus";"Utlangan";"NaN";"12.8";"2.57";"0.675";"0.054";"97.9";"0.0286";"11";"0.21";"0.015"
"88";"2007";"C2007/00681";"SU";"Clupea harengus";"Utlangan";"NaN";"10.5";"3.25";"0.738";"0.067";"99.4";"0.0151";"20";"0.11";"0.023"
"89";"1999";"P1999/04504";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"5.7";"6.95";"0.18";"0.056";"94";NA;"40";"0.16";"0.24"
"90";"1999";"P1999/04512";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"13";"4.38";"0.51";"0.061";"130";NA;"44";"0.12";"0.35"
"91";"1999";"P1999/04513";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"6.9";"4.17";"0.23";"0.043";"140";NA;"25";"0.11";"0.13"
"92";"1999";"P1999/04507";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"11";"5.67";"0.46";"0.085";"130";NA;"62";"0.1";"0.32"
"93";"1999";"P1999/04509";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"8.5";"4.54";"0.37";"0.035";"77";NA;"17";"0.24";"0.2"
"94";"1999";"P1999/04505";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"6.7";"3.86";"0.21";"0.042";"82";NA;"32";"0.12";"0.14"
"95";"1999";"P1999/04508";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"5.9";"4.83";"0.34";"0.048";"82";NA;"34";"0.041";"0.24"
"96";"1999";"P1999/04511";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"9.5";"7.47";"0.37";"0.081";"96";NA;"17";"0.06";"0.24"
"97";"1999";"P1999/04510";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"11";"5.86";"0.42";"0.088";"110";NA;"30";"0.13";"0.21"
"98";"1999";"P1999/04506";"SLU";"Clupea harengus";"Vaderoarna";"NaN";"6.9";"6.93";"0.29";"0.053";"77";NA;"41";"0.071";"0.24"
